,genename,bianyileixing,count,uuid
184,ACADS,synonymous SNV,1,640e45be-fb56-4ec8-9eb5-7e0a99380ad2
185,ACADSB,nonsynonymous SNV,9,c86279da-9f1e-494e-9426-384a42571080
186,ACADSB,stopgain,2,5f8fdbbe-93dc-454d-8fe8-7809225ab3fe
187,ACADVL,frameshift deletion,30,05dc15de-39a1-4837-a698-cd57fe1ae3c7
188,ACADVL,frameshift insertion,16,63e75186-0d59-484e-a0fc-2a5f8de7fc89
189,ACADVL,frameshift substitution,2,3fd4bffe-b273-4434-a6ed-924701119c09
190,ACADVL,nonframeshift deletion,9,75b2ca75-318d-4dcb-959c-ccec429112b6
191,ACADVL,nonframeshift substitution,1,d68963c0-8adc-4e5c-95f4-129d20661881
192,ACADVL,nonsynonymous SNV,131,9c1b344b-c759-484e-ad63-dbb0af5fad60
193,ACADVL,stopgain,15,06d56644-71b3-4160-ac95-6d09d17da185
194,ACADVL,stoploss,1,06090a0d-79ba-485d-adc3-18f07e8727fe
195,ACADVL,synonymous SNV,5,82f042c7-ebf2-4886-8047-8710cb3193fe
196,ACAN,frameshift deletion,2,d06689c2-9509-4295-8fd3-2576ba50b7e5
197,ACAN,frameshift insertion,1,1327edf0-fc6c-4435-b710-df1292b3e9ae
198,ACAN,nonsynonymous SNV,4,571ed60d-ead0-4069-b53e-f1f214f93277
199,ACAT1,frameshift deletion,4,dc1f4714-2364-4ef5-bc0f-6899e91b5732
200,ACAT1,frameshift insertion,4,e2edbb74-cd3c-4a87-ad8c-041efd3edaf7
201,ACAT1,nonframeshift deletion,3,1adbc2d8-e9ee-4dd5-91f8-314883f28d3d
202,ACAT1,nonframeshift insertion,1,92f51cfb-80e5-44ad-82a1-dc96896e8426
203,ACAT1,nonframeshift substitution,1,617c4b9b-8c54-4a40-97ed-e116fa1a867b
204,ACAT1,nonsynonymous SNV,39,37921e70-bcc9-4c2d-a000-d66943e10099
205,ACAT1,stopgain,5,47f209b6-84af-439e-9799-9109ee862c6b
206,ACAT1,synonymous SNV,1,22abcc1f-b68b-4db2-b91b-fc661594188c
207,ACBD5,nonsynonymous SNV,1,aac17ca5-d27a-4d8f-8dd5-6d22d593f3b4
208,ACBD6,frameshift deletion,1,7f58f42a-5e9a-4761-8306-a6959f2f4fb4
209,ACCS,nonsynonymous SNV,1,6880e545-2d8a-4b8f-abe2-6302b24d066a
210,ACCSL,nonsynonymous SNV,1,30cdbb23-91a6-4caa-908d-d92de42d1fe9
211,ACD,nonframeshift deletion,1,4766c610-5093-40b4-a907-e7677e711860
212,ACD,nonsynonymous SNV,5,f5ed518d-b964-41b3-b648-e6c1e8f7a6d3
213,ACD,stopgain,1,e00a6bf1-4e2c-48be-9dea-afd3177041a3
214,ACE,frameshift deletion,9,e69e2912-2747-45fb-95c8-cc78ec6d4058
215,ACE,frameshift insertion,2,3f3a7b3a-0a79-4e1a-b75b-1e4bcf3452a4
